# Translation-Mismatch-Audit - 2026-05-31 12:51
# Total scanned: 638, Mismatches: 149

## Per-Rule-Count
Rule          Count
----          -----
Cheese           28
Milk             21
Oil              16
Chicken          14
Butter           12
Bread             8
Egg               8
Beans             6
Mushroom          6
Beef              5
Noodles/Pasta     5
Apple             3
Berry             3
Spinach           2
Chocolate         2
Tomato            2
Lettuce           2
Coffee            1
Yogurt            1
Peas              1
Onion             1
Soy               1
Pork              1

## Full List (sorted by Rule, NameDe)
Rule          FdcId   NameDe                 NameEn                                                                                                                     
Milk          168809  Speiseeis Schokolade   Ice creams, chocolate                                                                                                      
Milk          167575  Speiseeis Vanille      Ice creams, vanilla                                                                                                        
Milk          2262073 Tahini                 Sesame butter, creamy                                                                                                      
Mushroom      169403  Enoki                  Mushrooms, maitake, raw                                                                                                    
Mushroom      169243  Maitake                Mushrooms, portabella, grilled                                                                                             
Mushroom      168423  Morchel                Mushrooms, morel, raw                                                                                                      
Mushroom      168422  Pfifferling            Mushrooms, Chanterelle, raw                                                                                                
Mushroom      169255  Portobello             Mushrooms, portabella, raw                                                                                                 
Mushroom      168436  Shiitake               Mushrooms, shiitake, dried                                                                                                 
Noodles/Pasta 172025  Farfalle               Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program)
Noodles/Pasta 168915  Fusilli                Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dry                                                    
Noodles/Pasta 169850  Kräuter der Provence   Restaurant, Italian, lasagna with meat                                                                                     
Noodles/Pasta 168927  Penne                  Pasta, dry, unenriched                                                                                                     
Noodles/Pasta 168899  Tagliatelle            Pasta, gluten-free, corn, dry                                                                                              
Oil           173573  Avocadoöl              Oil, avocado                                                                                                               
Oil           173412  Butter gesalzen        Butter oil, anhydrous                                                                                                      
Oil           171027  Distelöl               Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)                                           
Oil           171410  Erdnussöl              Oil, peanut, salad or cooking                                                                                              
Oil           171412  Kokosöl                Oil, coconut                                                                                                               
Oil           167702  Leinöl                 Oil, flaxseed, cold pressed                                                                                                
Oil           171029  Maiskeimöl             Oil, corn, industrial and retail, all purpose salad or cooking                                                             
Oil           171413  Olivenöl               Oil, olive, salad or cooking                                                                                               
Oil           171015  Palmöl                 Oil, palm                                                                                                                  
Oil           172336  Rapsöl                 Oil, canola                                                                                                                
Oil           2747652 Sardelle               Anchovies, canned in olive oil, with salt, drained                                                                         
Oil           175139  Sardine                Fish, sardine, Atlantic, canned in oil, drained solids with bone                                                           
Oil           171016  Sesamöl                Oil, sesame, salad or cooking                                                                                              
Oil           171025  Sonnenblumenöl         Oil, sunflower, linoleic, (approx. 65%)                                                                                    
Oil           171028  Traubenkernöl          Oil, grapeseed                                                                                                             
Oil           171030  Walnussöl              Oil, walnut                                                                                                                
Onion         174899  Bagel                  Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)                                           
Peas          170010  Zuckerschote           Peas, edible-podded, raw                                                                                                   
Pork          173870  Leberwurst             Liver sausage, liverwurst, pork                                                                                            
Soy           172474  Tamari                 Soy sauce, reduced sodium, made from hydrolyzed vegetable protein                                                          
Spinach       168438  Senf süß               Mustard spinach, (tendergreen), raw                                                                                        
Spinach       168911  Spaghetti Vollkorn     Spaghetti, spinach, dry                                                                                                    
Tomato        175140  Fischsauce             Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone                                                   
Tomato        170546  Passata                Tomato products, canned, puree, with salt added                                                                            
Yogurt        167722  Tofu seiden            Tofu yogurt
