keyword;score;category;source_ref
Ente, Entenfleisch;0;Fleisch;SIGHI_FoodList_2024-08-29_p5_r49
Faschiertes (=Hackfleisch), bei Verzehr unmittelbar;0;Fleisch;SIGHI_FoodList_2024-08-29_p5_r50
Faschiertes (=Hackfleisch), Offenverkauf oder unter;2;Fleisch;SIGHI_FoodList_2024-08-29_p5_r52
Geflügelfleisch;0;Fleisch;SIGHI_FoodList_2024-08-29_p5_r54
geräucherter Fisch, Räucherfisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p5_r55
Geselchtes, Rauchfleisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p5_r56
Hackfleisch, bei Verzehr unmittelbar nach;0;Fleisch;SIGHI_FoodList_2024-08-29_p5_r57
Hackfleisch, Offenverkauf oder unter;2;Fleisch;SIGHI_FoodList_2024-08-29_p5_r59
Hähnchen;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r13
Hendl, Hühnchen;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r14
Huhn;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r15
Innereien;2;Fleisch;SIGHI_FoodList_2024-08-29_p6_r16
Kalbfleisch, frisch;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r17
Poulet;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r18
Pute;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r19
Räucherfisch, geräucherter Fisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p6_r20
Rauchfleisch, Räucherfleisch, geräuchertes Fleisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p6_r21
Rindfleisch, frisch;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r22
Rohschinken;3;Fleisch;SIGHI_FoodList_2024-08-29_p6_r23
Salami;3;Fleisch;SIGHI_FoodList_2024-08-29_p6_r24
Schweinefleisch, frisch, unbehandelt;1;Fleisch;SIGHI_FoodList_2024-08-29_p6_r25
Selchfleisch, Rauchfleisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p6_r27
Strauss, Strauß, Straußenfleisch;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r28
Trockenfleisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p6_r29
Trute, Pute;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r30
Wachtel;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r31
Wildbret;1;Fleisch;SIGHI_FoodList_2024-08-29_p6_r32
Wildfleisch;1;Fleisch;SIGHI_FoodList_2024-08-29_p6_r33
Wurstwaren;2;Fleisch;SIGHI_FoodList_2024-08-29_p6_r34
Zunge, Rindszunge, Kalbszunge;0;Fleisch;SIGHI_FoodList_2024-08-29_p6_r35
Anchovis, Sardellen-Konserven;3;Fisch;SIGHI_FoodList_2024-08-29_p6_r39
"Fisch, ""Frischfisch"" vom Kühlregal / auf Eis";3;Fisch;SIGHI_FoodList_2024-08-29_p6_r40
Fisch, fangfrisch oder tiefgekühlt;0;Fisch;SIGHI_FoodList_2024-08-29_p6_r41
Forellen (Süsswasser): Seeforelle, Bachforelle,;0;Fisch;SIGHI_FoodList_2024-08-29_p6_r42
Lachs geräuchert, Räucherlachs;2;Fisch;SIGHI_FoodList_2024-08-29_p6_r44
Räucherlachs, Lachs geräuchert;2;Fisch;SIGHI_FoodList_2024-08-29_p6_r45
Sardellen-Konserven, Sardellenpaste, Anchovis;3;Fisch;SIGHI_FoodList_2024-08-29_p6_r46
Thunfisch;3;Fisch;SIGHI_FoodList_2024-08-29_p6_r47
Austern;2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p6_r49
Crevetten;2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p6_r50
Garnelen;2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p6_r51
Hummer;2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p6_r52
Krabben;2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p6_r53
Krebse;2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p6_r54
Krevetten;2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p7_r13
Krustentiere und Schalentiere;2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p7_r14
Langusten;2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p7_r16
Meeresfrüchte (=wirbellose Meerestiere);2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p7_r17
Muscheln (Miesmuschel, Austern, Venusmuschel,;2;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p7_r18
Schmalz: Schweineschmalz;0;Meeresfrüchte;SIGHI_FoodList_2024-08-29_p7_r21
Amarant;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r24
Backwaren;1;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r29
Brot;1;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r31
Buchweizen: Echter Buchweizen, Gemeiner;2;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r34
Bulgur, Boulghour, Bulghur;1;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r36
Cornflakes (ohne unverträgliche Zutaten wie Malz;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r37
Dinkel;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r39
Edelkastanien, frisch oder tiefgekühlt;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r41
Einkorn, Blicken, Kleiner Spelz;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r42
Emmer, Zweikorn;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r43
Erdäpfel, frisch geerntet, mit Schale;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r44
Erdäpfel, gelagert, geschält;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r45
Erdäpfel, gelagert, mit Schale;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r46
Esskastanien, frisch oder tiefgekühlt;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r48
Gerste;1;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r49
Gerstenmalz, Malz, Malzextrakt;2;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r50
Grünkern, Grünkorn;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r51
Hafer, Haferflocken, Hafermehl;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r52
Hanfproteinpulver;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r53
Hanfsamen (Cannabis sativa);0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r55
Hirse;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p7_r57
KAMUT®, Khorasan-Weizen;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r13
Kartoffel, frisch geerntet, mit Schale;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r15
Kartoffel, gelagert, geschält;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r16
Kartoffel, gelagert, mit Schale;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r17
Khorasan-Weizen, KAMUT®;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r19
Kukuruz, getrocknet: Maisgriess, Maisgrieß,;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r21
Kukuruz: Mais aus der Dose, Dosenmais;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r23
Kukuruz: Maiskörner, Maiskolben frisch/pasteurisiert;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r25
Mais aus der Dose, Dosenmais;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r26
Mais, getrocknet: Maisgriess, Maisgrieß, Maismehl,;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r28
Mais: Maiskörner, Maiskolben frisch/pasteurisiert;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r30
Maltodextrin;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r31
Malz, Malzextrakt, Gerstenmalz;2;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r32
Maniok-Wurzelknollen;?;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r33
Maroni, Marroni, Maronen, frisch oder tiefgekühlt;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r35
Perlsago, Sagostärke;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r36
Quinoa;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r37
Reis;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r38
Reisnudeln;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r39
Reiswaffeln, Reis-Mais-Waffeln;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r41
Rice Crispies;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r42
Roggen;1;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r43
Sago, Sagostärke;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r44
Sonnenblumenkerne;2;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r45
Süsskartoffel, Süßkartoffel;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r46
Tapioka, Tapiokastärke;0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r47
Weizen;1;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r48
Weizenkeime;2;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r50
Wildreis, Wasserreis (Zizania);0;Pflanzlich;SIGHI_FoodList_2024-08-29_p8_r51
Baumnuss;3;Nüsse;SIGHI_FoodList_2024-08-29_p8_r53
Cashew-Kerne, Cashewnüsse, Cashewnuss;1;Nüsse;SIGHI_FoodList_2024-08-29_p9_r13
Erdmandel, geröstet;2;Nüsse;SIGHI_FoodList_2024-08-29_p9_r14
Erdmandel, Tigernuss (Cyperus esculentus);0;Nüsse;SIGHI_FoodList_2024-08-29_p9_r16
Erdnüsse, Erdnuss;2;Nüsse;SIGHI_FoodList_2024-08-29_p9_r18
Haselnuss, Haselnüsse;1;Nüsse;SIGHI_FoodList_2024-08-29_p9_r19
Macadamia-Nuss;0;Nüsse;SIGHI_FoodList_2024-08-29_p9_r20
Mandeln;1;Nüsse;SIGHI_FoodList_2024-08-29_p9_r21
Paranuss;0;Nüsse;SIGHI_FoodList_2024-08-29_p9_r23
Pekannuss, Pecannuss;0;Nüsse;SIGHI_FoodList_2024-08-29_p9_r24
Pinienkerne;1;Nüsse;SIGHI_FoodList_2024-08-29_p9_r25
Pistazie;0;Nüsse;SIGHI_FoodList_2024-08-29_p9_r26
Spanische Nüssli (=Erdnuss);2;Nüsse;SIGHI_FoodList_2024-08-29_p9_r27
Tigernuss, Erdmandel (Cyperus esculentus);0;Nüsse;SIGHI_FoodList_2024-08-29_p9_r28
Walnuss;3;Nüsse;SIGHI_FoodList_2024-08-29_p9_r30
Baumnussöl;2;Fette;SIGHI_FoodList_2024-08-29_p9_r32
Distelöl, Färberdistelöl, Safloröl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r33
Kokosfett, Kokosöl, Kokosnussfett, Kokosnussöl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r34
Kokosöl, Kokosfett;0;Fette;SIGHI_FoodList_2024-08-29_p9_r35
Kürbiskernöl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r36
Leinöl, Leinsamenöl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r40
Maiskeimöl, Maisöl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r41
Margarine (wenn ohne unverträgliche Zusatzstoffe);0;Fette;SIGHI_FoodList_2024-08-29_p9_r42
Nachtkerzenöl (Oenothera biennis);0;Fette;SIGHI_FoodList_2024-08-29_p9_r43
Olivenöl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r44
Palmfett, Palmöl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r45
Palmöl, Palmfett, Palmkernöl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r47
Rapsöl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r49
Safloröl, Distelöl, Färberdistelöl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r50
Schwarzkümmelöl (Nigella sativa);0;Fette;SIGHI_FoodList_2024-08-29_p9_r51
Sojaöl;1;Fette;SIGHI_FoodList_2024-08-29_p9_r52
Sonnenblumenöl;0;Fette;SIGHI_FoodList_2024-08-29_p9_r53
Walnussöl;2;Fette;SIGHI_FoodList_2024-08-29_p9_r55
Ackerbohne (Vicia faba);2;Gemüse;SIGHI_FoodList_2024-08-29_p9_r57
Ackersalat;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r13
Artischocke;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r14
Arugula, Rucola;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r15
Aubergine;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r16
Avocado;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r17
Bambussprossen;?;Gemüse;SIGHI_FoodList_2024-08-29_p10_r18
Blattsalate;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r19
Blattsellerie, Schnittsellerie;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r20
Blaukabis, Blaukraut, Rotkohl;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r21
Bleichsellerie, Staudensellerie;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r22
Blumenkohl;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r23
Bohnen allgemein, diverse Arten;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r24
Bohnen: Borlotti-Bohnen;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r26
Bohnen: Buschbohnen, Grüne Bohnen;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r27
Braunkohl, Grünkohl, Krauskohl, Federkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r28
Brennnessel;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r29
Broccoli, Brokkoli;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r30
Brüsseler Kohl, Rosenkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r31
Buschbohnen, Grüne Bohnen;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r32
Chayote;?;Gemüse;SIGHI_FoodList_2024-08-29_p10_r33
Chicorée (Cichorium intybus);0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r34
Chilisauce, scharf, fermentiert;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r35
Chilischoten, scharf, frisch;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r36
Chinakohl;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r37
Chinesischer Senfkohl, Chinesischer Blätterkohl, Pak;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r38
Cornichons, eingelegt;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r40
Eierfrucht, Eierpflanze, Aubergine;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r43
Eisbergsalat;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r44
Endiviensalat, Endivie (Cichorium endivia);0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r45
Erbsen: Gartenerbsen;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r46
Essiggemüse;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r47
Essiggurken, eingelegt;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r50
Favabohne (Vicia faba);2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r53
Feldsalat;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r54
Fenchel;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r55
Fisolen, Buschbohne (Phaseolus vulgaris var. nanus);1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r56
Gartenerbsen (Pisum sativum = Lathyrus oleraceus);1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r13
Gartenkresse, Garten-Kresse (Lepidium sativum);?;Gemüse;SIGHI_FoodList_2024-08-29_p11_r14
Garten-Senfrauke, Rucola;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r15
Gemüse-Eibisch, Okra;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r16
Gewürzgurken, eingelegt;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r17
Grünkohl, Braunkohl, Krauskohl, Federkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r20
Gurken: Gartengurke, Salatgurke, Kukumer;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r21
Herbstrübe;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r22
Hülsenfrüchte (Soja, Bohnen, Erbsen, Linsen, ...);2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r23
Kaiserschote;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r24
Kappes, Kohl, Kraut, Weißkohl;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r25
Karfiol, Blumenkohl;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r26
Karotte;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r27
Kefen;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r28
Kelp (große Braunalgen, Seetang, Blatttang,;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r29
Kichererbse;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r31
Kiefelerbse;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r32
Knoblauch;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r33
Knollensellerie;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r34
Kohlrabi;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r35
Kohlsorten (außer Rosenkohl, Kohlrabi);0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r36
Kohlsprossen, Rosenkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r37
Krauskohl, Grünkohl, Braunkohl, Federkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r38
Krautstiele (Beta vulgaris subsp. vulgaris);1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r39
Kren, Meerrettich;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r40
Kresse: Gartenkresse (Lepidium sativum);?;Gemüse;SIGHI_FoodList_2024-08-29_p11_r41
Kürbisse, div. Sorten;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r42
Lauch;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r43
Linsen;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r44
Mangold;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r45
Meerrettich;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r46
Melanzani, Melanzana, Aubergine;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r47
Möhre, Mohrrübe;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r48
Mungbohnen, Mungobohnen (-keimlinge/-sprossen);?;Gemüse;SIGHI_FoodList_2024-08-29_p11_r49
Nüsslisalat, Nüssler;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r51
Okra, Gemüse-Eibisch;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r52
Oliven;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r53
Pak Choi, Pak Choy, Pok Choi;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r55
Paprika, Peperoni, milde Sorten;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r13
Paprika, Peperoni, scharfe Sorten;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r14
Paradeiser, Tomaten;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r15
Pastinaken;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r16
Peperoni, Paprika, milde Sorten;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r17
Peperoni, Paprika, scharfe Sorten;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r18
Porree;1;Gemüse;SIGHI_FoodList_2024-08-29_p12_r19
Räbe;1;Gemüse;SIGHI_FoodList_2024-08-29_p12_r20
Radieschen und Rettiche (Gattung Raphanus), milde;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r21
Radieschen und Rettiche (Gattung Raphanus), scharfe;1;Gemüse;SIGHI_FoodList_2024-08-29_p12_r23
Randen;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r25
Rauke, Rucola;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r26
Rettiche und Radieschen (Gattung Raphanus), milde;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r27
Rettiche und Radieschen (Gattung Raphanus),;1;Gemüse;SIGHI_FoodList_2024-08-29_p12_r29
Rosenkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p12_r31
Rote Bete, Rote Beete;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r32
Rotkohl, Rotkraut;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r33
Rucola, Rukola;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r34
Rüebli;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r35
Salat: Blattsalate;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r36
Salzgurken;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r37
Saubohne (Vicia faba);2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r39
Sauerkraut;3;Gemüse;SIGHI_FoodList_2024-08-29_p12_r40
Schmalblättriger Doppelsame, Rucola;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r41
Schnittsellerie;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r42
Schweinsbohne (Vicia faba);2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r43
Sellerie: Knollensellerie (Apium graveolens var.;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r44
Sellerie: Schnittsellerie (Apium graveolens var.;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r46
Sellerie: Staudensellerie (Apium graveolens var.;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r48
Senfkohl, Pak Choi;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r50
Soja (Sojabohne, Sojamehl);2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r51
Sojasprossen [irrtümliche Bezeichnung. Korrekt:;?;Gemüse;SIGHI_FoodList_2024-08-29_p12_r52
Spalterbsen, Gartenerbsen;1;Gemüse;SIGHI_FoodList_2024-08-29_p12_r54
