bls_code,name_de,type,allergens,sighi,fodmap
M884000,"Magermilchpulver",RAW,[LACTOSE],0,[LACTOSE]
M886000,"Buttermilchpulver",RAW,[LACTOSE],0,[LACTOSE]
# === KATEGORIE N: Kaffeeersatz ===
N500900,"Kaffeeersatzpulver",COMPOSED,,,
N540900,"Zichorienkaffeepulver",RAW,[],0,[FRUCTAN]
# === KATEGORIE P: Alkoholische Getränke ===
P353100,"Apfelwein",RAW,[],2,"[FRUCTOSE,SORBIT]"
P752100,"Obstbrand/Obstwasser",RAW,[],3,[]
P712000,"Wodka",RAW,[GLUTEN],3,[]
P741000,"Rum 37,5/40 % vol",RAW,[],3,[]
# === KATEGORIE S: Süßungsmittel ===
S120000,"Honig",RAW,[],0,[FRUCTAN]
S121000,"Blütenhonig (Nektarhonig)",RAW,[],0,[FRUCTAN]
# === KATEGORIE T: Fisch (roh) ===
T102100,"Hering roh",RAW,[FISH],0,[]
T302100,"Steinbutt roh",RAW,[FISH],0,[]
T306100,"Heilbutt/Weißer Heilbutt, roh",RAW,[FISH],0,[]
T501100,"Karpfen roh",RAW,[FISH],0,[]
T502100,"Blei/Brachsen/Brasse, roh",RAW,[FISH],0,[]
T601100,"Barsch/Flussbarsch, roh",RAW,[FISH],0,[]
T615100,"Rotbarsch/Goldbarsch, roh",RAW,[FISH],0,[]
T730100,"Hummer roh",RAW,[CRUSTACEAN],0,[]
T753100,"Garnele/Granat/Krabbe, roh",RAW,[CRUSTACEAN],0,[]
T780100,"Europäische Auster roh",RAW,[MOLLUSC],0,[]
T792100,"Miesmuschel roh",RAW,[MOLLUSC],0,[]
# === KATEGORIE U: Schwein, Schaf (roh) ===
U505100,"Schwein Fettwamme, geringer Magerfleischanteil roh",RAW,[],1,[]
U805800,"Schaf Fettgewebe, intermuskulär roh",RAW,[],0,[]
U852100,"Schaf Brust, mittelfett, roh",RAW,[],0,[]
U853100,"Schaf Brust, fett, roh",RAW,[],0,[]
U861100,"Schaf Bug/Schulter, mager, roh",RAW,[],0,[]
U891100,"Schaf Hinterhaxe, mager, roh",RAW,[],0,[]
# === KATEGORIE V: Kaninchen, Wild, Innereien ===
V132100,"Kaninchen Fleisch, roh",RAW,[],0,[]
V232100,"Hase Fleisch, roh",RAW,[],0,[]
V523100,"Schwein Hirn, roh",RAW,[],0,[]
V524100,"Schaf Hirn, roh",RAW,[],0,[]
# === KATEGORIE C (Fortsetzung — verstreut): Getreide ===
C232000,"Hafer Schrot",RAW,[GLUTEN],0,[FRUCTAN]
C137000,"Hafer Grütze",RAW,[GLUTEN],0,[FRUCTAN]
C233000,"Hafer Mehl",RAW,[GLUTEN],0,[FRUCTAN]
C138000,"Hafer Kleie",RAW,[GLUTEN],0,[FRUCTAN]
C148000,"Gerste Graupen",RAW,[GLUTEN],0,[FRUCTAN]
C242000,"Gerste Schrot",RAW,[GLUTEN],0,[FRUCTAN]
C147000,"Gerste Grütze",RAW,[GLUTEN],0,[FRUCTAN]
C143000,"Gerste Flocken",RAW,[GLUTEN],0,[FRUCTAN]
C146000,"Gerste Grieß",RAW,[GLUTEN],0,[FRUCTAN]
C446000,"Mais Stärke",RAW,[],0,[]
C453000,"Reis Mehl",RAW,[],0,[]
C351000,"Reis unpoliert, roh",RAW,[],0,[]
C346000,"Mais Grieß",RAW,[],0,[]
C347000,"Mais Grütze",RAW,[],0,[]
# === KATEGORIE E (Fortsetzung) ===
E432000,"Eierteigwaren roh",RAW,"[GLUTEN,EGG]",2,[]
# === KATEGORIE F (Fortsetzung) ===
F409100,"Wald-Erdbeere roh",RAW,[],2,"[FRUCTAN,SORBIT]"
F306100,"Loganbeere roh",RAW,[],0,[FRUCTAN]
F303100,"Brombeere roh",RAW,[],0,[FRUCTAN]
F408000,"Moltebeere roh",RAW,[],0,[FRUCTAN]
F321100,"Johannisbeere rot, roh",RAW,[],0,[FRUCTAN]
F307100,"Boysenbeere roh",RAW,[],0,[FRUCTAN]
F304100,"Heidelbeere roh",RAW,[],0,[FRUCTAN]
F411100,"Wald-Himbeere roh",RAW,[],2,[FRUCTAN]
# === KATEGORIE G (Fortsetzung) ===
G553100,"Pfefferschote grün, roh",RAW,[],0,[]
G542100,"Gemüsepaprika gelb, roh",RAW,[],0,[FRUCTAN]
G554100,"Pfefferschote rot, roh",RAW,[],0,[]
# === KATEGORIE H (Fortsetzung) ===
H650100,"Mungbohnensprossen/Mungbohnenkeimlinge, roh",RAW,[],0,[GOS]
H620100,"Sojabohnensprossen/Sojabohnenkeimlinge, roh",RAW,[SOY],0,[GOS]
# === KATEGORIE M (Fortsetzung) ===
M012200,"Feta mind. 45 % Fett i. Tr.",RAW,[LACTOSE],1,[LACTOSE]
M502700,"Edelpilzkäse mind. 50 % Fett i. Tr.",RAW,[LACTOSE],2,[LACTOSE]
M502600,"Edelpilzkäse mind. 45 % Fett i. Tr.",RAW,[LACTOSE],2,[LACTOSE]
M502800,"Edelpilzkäse mind. 60 % Fett i. Tr.",RAW,[LACTOSE],2,[LACTOSE]
M887000,"Süßmolkenpulver",RAW,[LACTOSE],0,[LACTOSE]
# === KATEGORIE P (Fortsetzung) ===
P350000,"Fruchtwein (Obstwein)",RAW,[],3,[FRUCTAN]
P355000,"Most",RAW,[],0,"[FRUCTOSE,SORBIT]"
P733000,"Whisky/Whiskey",RAW,[GLUTEN],3,[]
P742000,"Arrak",RAW,[],3,[]
P743000,"Rum 80 % vol",RAW,[],3,[]
P7A4000,"Agavenbrand (Mezcal/Tequila)",RAW,[],3,[]
P740000,"Brand aus Zuckerrohr (Cachaca)",RAW,[],3,[]
P640000,"Calvados",RAW,[],3,"[FRUCTOSE,SORBIT]"
P7A3000,"Spirituosen mit Kümmel/Aquavit",RAW,[],3,[]
P754100,"Obstgeist",RAW,[],3,[]
# === KATEGORIE C (Fortsetzung) ===
C549000,"Gerstenmalzextrakt",RAW,[GLUTEN],2,[FRUCTAN]
# === KATEGORIE S (Fortsetzung) ===
S122000,"Honigtauhonig (Waldhonig)",RAW,[],0,[FRUCTAN]
# === KATEGORIE T (Fortsetzung) ===
T105100,"Sardine roh",RAW,[FISH],0,[]
T033000,"Schillerlocken (Dornhai, Bauchlappen, heiß geräuchert)",RAW,[FISH],3,[]
T106100,"Sprotte roh",RAW,[FISH],0,[]
T305100,"Goldbutt/Scholle, roh",RAW,[FISH],0,[]
T307100,"Schwarzer Heilbutt roh",RAW,[FISH],0,[]
T604100,"Katfisch/Steinbeißer, roh",RAW,[FISH],0,[]
T512100,"Schleie roh",RAW,[FISH],0,[]
T506100,"Wels roh",RAW,[FISH],0,[]
T507100,"Pangasius/Schlankwels, roh",RAW,[FISH],0,[]
T603100,"Zander roh",RAW,[FISH],0,[]
T633100,"Meeräsche roh",RAW,[FISH],0,[]
T617100,"Schafskopf (Meerbrasse) roh",RAW,[FISH],0,[]
T710100,"Edelkrebs/Flusskrebs, roh",RAW,[CRUSTACEAN],0,[]
T720100,"Languste roh",RAW,[CRUSTACEAN],0,[]
T791100,"Große Sandklaffmuschel roh",RAW,[MOLLUSC],0,[]
T797100,"Venusmuschel roh",RAW,[MOLLUSC],0,[]
T793100,"Pilgermuschel/Jakobsmuschel, roh",RAW,[MOLLUSC],0,[]
# === KATEGORIE U (Fortsetzung) ===
U605000,"Schwein Rückenspeck, kernig, roh",RAW,[],1,[]
U605700,"Schwein Speck, ohne Schwartenzug roh",RAW,[],1,[]
U605800,"Schwein Fettabschnitte, geringer Schwartenzug roh",RAW,[],1,[]
U807100,"Lamm Fettgewebe, intermuskulär roh",RAW,[],0,[]
U783100,"Schaf Kochfleisch (Brust, fett) roh",RAW,[],0,[]
U856100,"Hammel Brust, roh",RAW,[],0,[]
U857100,"Lamm Brust, roh",RAW,[],0,[]
U863100,"Schaf Bug/Schulter, fett, roh",RAW,[],0,[]
U867100,"Lamm Bug/Schulter, roh",RAW,[],0,[]
U751100,"Schaf Gulasch (Bug, mager) roh",RAW,[],0,[]
U771100,"Schaf Bratenfleisch (Bug, mager) roh",RAW,[],0,[]
U881100,"Schaf Keule, mager, roh",RAW,[],0,[]
U871100,"Schaf Vorderhaxe, mager, roh",RAW,[],0,[]
# === KATEGORIE V (Fortsetzung) ===
V242100,"Wildkaninchen Fleisch, roh",RAW,[],0,[]
V526100,"Hammel Hirn, roh",RAW,[],0,[]
# === KATEGORIE C (Fortsetzung) ===
C136000,"Hafer Grieß",RAW,[GLUTEN],0,[FRUCTAN]
C353100,"Wildreis roh",RAW,[],0,[]
C216000,"Weizen Stärke",RAW,[GLUTEN],0,[]
C456000,"Reis Stärke",RAW,[],0,[]
C356000,"Reis Grieß",RAW,[],0,[]
C559000,"Reisnudeln roh",RAW,[],0,[]
# === KATEGORIE H (Fortsetzung) ===
H030400,"Glasnudeln aus Mungbohnenstärke, roh",RAW,[],0,[]
# === KATEGORIE K: Kartoffeln, Stärke ===
K230000,"Kartoffelstärke (Kartoffelmehl)",RAW,[],0,[]
# === ERSTE COMPOSED! KATEGORIE E ===
E609200,"Eierteigwaren Tortellini (Fleischfüllung) getrocknet",COMPOSED,,,
E609100,"Eierteigwaren Tortelloni (Ricotta-Spinat-Füllung) getrocknet",COMPOSED,,,
# === KATEGORIE F (Fortsetzung) ===
F413100,"Wald-Brombeere roh",RAW,[],0,[FRUCTAN]
F407100,"Moosbeere roh",RAW,[],0,[FRUCTAN]
F401100,"Preiselbeere roh",RAW,[],0,[FRUCTAN]
F322100,"Johannisbeere weiß, roh",RAW,[],0,[FRUCTAN]
F323100,"Johannisbeere schwarz roh",RAW,[],0,[FRUCTAN]
# === KATEGORIE M (Fortsetzung) ===
M052000,"Salzlakenkäse aus Kuhmilch, Hirtenkäse, mind. 45 % Fett i. Tr.",RAW,[LACTOSE],1,[LACTOSE]
M3A4300,"Salzlakenkäse aus Schafmilch, mind. 20 % Fett i. Tr.",RAW,[LACTOSE],1,[LACTOSE]
M053000,"Salzlakenkäse aus Ziegenmilch, mind. 45 % Fett i. Tr.",RAW,[LACTOSE],1,[LACTOSE]
M6A6800,"Salzlakenkäse aus Schafmilch, mind. 45 % Fett i. Tr.",RAW,[LACTOSE],1,[LACTOSE]
M516700,"Danablu mind. 50 % Fett i. Tr.",RAW,[LACTOSE],2,[LACTOSE]
# === KATEGORIE P (Fortsetzung) ===
P721000,"Spirituosen mit Wacholder",RAW,[GLUTEN],3,[]
P7A1000,"Spirituosen mit Anis",RAW,[],3,[]
P730000,"Getreidebrand (Korn)",RAW,[GLUTEN],3,[]
P620000,"Weinbrand/Brandy",RAW,[],3,[]
P722000,"Gin",RAW,[GLUTEN],3,[]
# === KATEGORIE T (Fortsetzung) ===
T402100,"Stint roh",RAW,[FISH],0,[]
T104100,"Sardelle roh",RAW,[FISH],0,[]
T070100,"Seeteufel roh",RAW,[FISH],0,[]
T305200,"Goldbutt/Scholle, tiefgefroren",RAW,[FISH],0,[]
T311100,"Flunder roh",RAW,[FISH],0,[]
T600100,"Meerbarbe roh",RAW,[FISH],0,[]
T020100,"Tintenfisch roh",RAW,[MOLLUSC],0,[]
T309100,"Seezunge roh",RAW,[FISH],0,[]
T313100,"Rotzunge roh",RAW,[FISH],0,[]
# === KATEGORIE W: Wurstwaren (roh = unverarbeitetes Fleisch) ===
W412000,"Schwein Speck/Rückenspeck (grüner Speck) roh",RAW,[],0,[]
# === KATEGORIE U (Fortsetzung) ===
U205800,"Rind Fettgewebe, intermuskulär roh",RAW,[],0,[]
U753100,"Schaf Gulasch (Bug, fett) roh",RAW,[],0,[]
U773100,"Schaf Bratenfleisch (Bug, fett) roh",RAW,[],0,[]
U866100,"Hammel Bug/Schulter, roh",RAW,[],0,[]
U882100,"Schaf Keule, mittelfett, roh",RAW,[],0,[]
U741100,"Schaf Schnitzel (Keule, mager) roh",RAW,[],0,[]
U883100,"Schaf Keule, fett, roh",RAW,[],0,[]
U405800,"Kalb Fettgewebe, intermuskulär roh",RAW,[],0,[]
U892100,"Schaf Hinterhaxe, mittelfett, roh",RAW,[],0,[]
U742100,"Schaf Schnitzel (Keule, mittelfett) roh",RAW,[],0,[]
U886100,"Hammel Keule, roh",RAW,[],0,[]
U872100,"Schaf Vorderhaxe, mittelfett, roh",RAW,[],0,[]
# === KATEGORIE V (Fortsetzung) ===
V122100,"Ziege Fleisch, roh",RAW,[],0,[]
V050100,"Schnecken roh",RAW,[MOLLUSC],0,[]
# === KATEGORIE F (Fortsetzung) ===
F403100,"Schlehe roh",RAW,[],0,[FRUCTAN]
F406100,"Holunderbeere roh",RAW,[],0,[FRUCTAN]
# === KATEGORIE K (Fortsetzung) ===
K512000,"Tapioka/Tapiokastärke",RAW,[],0,[]
K213000,"Kartoffelpüree Instantpulver",RAW,[],0,[]
K550000,"Pfeilwurzelmehl/Marantastärke",RAW,[],0,[]
# === KATEGORIE P (Fortsetzung) ===
P610000,"Cognac",RAW,[],3,[]
P7A2000,"Spirituosen mit bitterem Geschmack (Bitter)",RAW,[],3,[]
# === KATEGORIE B: Brot & Backwaren (COMPOSED!) ===
B121000,"Roggenvollkornbrot",COMPOSED,,,
B271000,"Roggenmischbrot",COMPOSED,,,
B311000,"Weizenbrot/Weißbrot",COMPOSED,,,
B511000,"Weizenbrötchen",COMPOSED,,,
# === KATEGORIE C (Fortsetzung) ===
C114000,"Weizen Keim",RAW,[GLUTEN],0,[FRUCTAN]
C118000,"Quinoa weiß, roh",RAW,[],0,[]
C211000,"Weizen Vollkornmehl",RAW,[GLUTEN],0,[FRUCTAN]
C212000,"Weizen Backschrot, Type 1700",RAW,[GLUTEN],0,[FRUCTAN]
C213100,"Weizen Mehl, Type 812",RAW,[GLUTEN],0,[FRUCTAN]
C213200,"Weizen Mehl, Type 1050",RAW,[GLUTEN],0,[FRUCTAN]
C213500,"Weizen Mehl, Type 1600",RAW,[GLUTEN],0,[FRUCTAN]
C214100,"Weizen Mehl, Type 405",RAW,[GLUTEN],0,[FRUCTAN]
C214200,"Weizen Mehl, Type 550",RAW,[GLUTEN],0,[FRUCTAN]
C217000,"Weizen Kleie",RAW,[GLUTEN],0,[FRUCTAN]
C223100,"Roggen Mehl, Type 815",RAW,[GLUTEN],0,[FRUCTAN]
C235000,"Dinkel Vollkornmehl",RAW,[GLUTEN],0,[FRUCTAN]
C322000,"Buchweizen roh",RAW,[],2,[]
C332000,"Hirse roh",RAW,[],0,[]
C515000,"Cornflakes gesüßt",COMPOSED,,,
C515400,"Cornflakes ungesüßt",RAW,[],0,[]
C532700,"Reiswaffeln ungesalzen",RAW,[],0,[]
C533100,"Maiswaffeln gesalzen",RAW,[],0,[]
# === KATEGORIE C (Fortsetzung) ===
C534300,"Cerealien extrudiert, gesüßt, ungefüllt, mit Frucht-/Honig-/Karamell-/Schokogeschmack",COMPOSED,,,
C534500,"Cerealien extrudiert, gesüßt, divers gefüllt",COMPOSED,,,
C537000,"Weizenpops/Weizen gepufft, gesüßt",COMPOSED,,,
C539100,"Cerealien aus Vollkornweizenschrot, gesüßt, ungefüllt, Natur/Frucht/Schokolade",COMPOSED,,,
C650000,"Reisdrink ungesüßt",RAW,[],1,[]
C660000,"Haferdrink ungesüßt",RAW,[GLUTEN],1,[]
# === KATEGORIE D: Dauerbackwaren, Snacks ===
D038000,"Zwieback eifrei",COMPOSED,,,
D064000,"Salzbrezeln/Salzstangen (Laugendauergebäck)",COMPOSED,,,
D630400,"Butterkekse/Butterplätzchen (Mürbeteig)",COMPOSED,,,
# === KATEGORIE E: Eier ===
E111100,"Hühnerei roh",RAW,[EGG],2,[]
E111500,"Hühnerei Pulver",RAW,[EGG],2,[]
E112100,"Hühnerei Eigelb, roh",RAW,[EGG],0,[]
E112400,"Hühnerei Eigelb, getrocknet",RAW,[EGG],0,[]
E113100,"Hühnerei Eiklar, roh",RAW,[EGG],2,[]
E113400,"Hühnerei Eiklar, getrocknet",RAW,[EGG],2,[]
# === KATEGORIE F: Obst (Fortsetzung) ===
F081100,"Rhabarber roh",RAW,[],1,[FRUCTAN]
F110100,"Apfel roh",RAW,[],0,"[FRUCTOSE,SORBIT]"
F110400,"Apfel getrocknet",RAW,[],0,"[FRUCTOSE,SORBIT]"
F201100,"Aprikose roh",RAW,[],0,[SORBIT]
F201400,"Aprikose getrocknet",RAW,[],0,[SORBIT]
F203902,"Pfirsich gezuckert, Konserve, abgetropft",COMPOSED,,,
F212902,"Sauerkirsche gezuckert, Konserve, abgetropft",COMPOSED,,,
F220400,"Pflaume getrocknet",RAW,[],0,[SORBIT]
F402100,"Hagebutte roh",RAW,[],0,[]
F405100,"Sanddornbeere roh",RAW,[],0,[]
F414400,"Cranberries getrocknet, gezuckert",COMPOSED,,,
F501902,"Ananas gezuckert, Konserve, abgetropft",COMPOSED,,,
F502100,"Avocado roh",RAW,[],2,[SORBIT]
F503100,"Banane roh",RAW,[],2,[FRUCTAN]
F504400,"Dattel getrocknet",RAW,[],0,[]
F505100,"Feige roh",RAW,[],0,[]
F505400,"Feige getrocknet",RAW,[],0,[]
F506100,"Granatapfel roh",RAW,[],0,[]
F507100,"Kaki roh",RAW,[],0,"[FRUCTAN,SORBIT]"
F508100,"Maracuja/Passionsfrucht, roh",RAW,[],0,[]
F511100,"Acerola roh",RAW,[],0,[]
F514100,"Kiwi roh",RAW,[],2,[]
F515100,"Litschi roh",RAW,[],0,[]
F516100,"Mango roh",RAW,[],1,[]
F517100,"Papaya roh",RAW,[],2,[]
F523100,"Brotfrucht roh",RAW,[],0,[]
F532100,"Netzmelone/Cantaloupmelone, roh",RAW,[],0,[]
F549100,"Jackfrucht roh",RAW,[],0,[]
F553100,"Karambole/Sternfrucht, roh",RAW,[],0,[]
F556100,"Kaktusfeige roh",RAW,[],0,[]
F563100,"Feijoa/Ananas-Guave, roh",RAW,[],0,[]
F603600,"Orangensaft",RAW,[],3,[]
F606902,"Mandarine gezuckert, Konserve, abgetropft",COMPOSED,,,
F850100,"Bananenchips frittiert, gesüßt",COMPOSED,,,
# === KATEGORIE G: Gemüse (Fortsetzung) ===
G061000,"Basilikum roh",RAW,[],0,[]
G081100,"Schnittlauch roh",RAW,[],0,[FRUCTAN]
G081400,"Schnittlauch getrocknet",RAW,[],0,[FRUCTAN]
G104100,"Feldsalat/Rapunzel, roh",RAW,[],0,[]
G105100,"Kopfsalat roh",RAW,[],0,[]
# === KATEGORIE H: Hülsenfrüchte, Nüsse ===
H110600,"Erdnuss geröstet",RAW,[PEANUT],2,[GOS]
# === KATEGORIE G: Gemüse (Fortsetzung) ===
G106100,"Radicchio roh",RAW,[],0,[]
G107100,"Römischer Salat/Romanasalat, roh",RAW,[],0,[]
G211100,"Spinat roh",RAW,[],2,[]
G250400,"Petersilienblatt getrocknet",RAW,[],0,[]
G261100,"Brennnessel roh",RAW,[],0,[]
G262100,"Löwenzahn roh",RAW,[],0,[]
G263100,"Sauerampfer roh",RAW,[],0,[]
G280100,"Gartenkresse roh",RAW,[],0,[]
G311100,"Blumenkohl roh",RAW,[],0,[MANNIT]
G312100,"Broccoli roh",RAW,[],0,[]
G341100,"Rotkohl roh",RAW,[],0,[FRUCTAN]
G341900,"Rotkohlgemüse (küchenfertig) Konserve",RAW,[],0,[FRUCTAN]
G342100,"Weißkohl roh",RAW,[],0,[FRUCTAN]
G345902,"Sauerkraut Konserve, abgetropft",RAW,[],3,[FRUCTAN]
G431100,"Fenchelblatt/Bologneser Fenchel, roh",RAW,[],0,[]
G450100,"Spargel roh",RAW,[],0,[]
G470100,"Porree/Lauch, roh",RAW,[],1,[FRUCTAN]
G530100,"Okra roh",RAW,[],0,[]
G561100,"Tomate roh",RAW,[],2,[]
G570100,"Zuckermais roh",RAW,[],0,[]
G570902,"Zuckermais Konserve, abgetropft",RAW,[],0,[]
G581100,"Kürbis Pumpkin (C. pepo) roh",RAW,[],0,[]
G582100,"Zucchini roh",RAW,[],0,[]
G613100,"Rote Rübe/Rote Bete, roh",RAW,[],0,[]
G620100,"Karotte/Möhre, roh",RAW,[],0,[]
G890702,"Salzgurke/Salzdillgurke, milchsauer fermentiert, abgetropft",RAW,[],2,[]
G995000,"Nori-Blatt geröstet",RAW,[],3,[]
# === KATEGORIE H: Hülsenfrüchte, Nüsse, Sojaprodukte (Fortsetzung) ===
H012000,"Sojalecithin",RAW,[SOY],0,[]
H880200,"Erdnussbutter/Erdnusscreme",RAW,[PEANUT],2,[GOS]
H130100,"Haselnuss",RAW,[NUT],1,[GOS]
H150100,"Kokos Fruchtfleisch, roh",RAW,[],0,[]
H150400,"Kokos Fruchtfleisch, geraspelt, getrocknet",RAW,[],0,[]
H151000,"Kokoswasser (Fruchtwasser)",RAW,[],0,[]
H170100,"Cashewkern",RAW,[NUT],2,[GOS]
H180100,"Paranuss",RAW,[NUT],2,[GOS]
H230100,"Edelkastanie/Marone",RAW,[NUT],0,[]
H250600,"Pistazie geröstet ohne Fett",RAW,[NUT],0,[GOS]
H310100,"Kürbiskern",RAW,[],0,[]
H739400,"Gartenbohne reif",RAW,[],0,[GOS]
H765000,"Sojaschnetzel/Sojagranulat, texturiert, trocken",RAW,[SOY],2,[GOS]
H770100,"Mungbohne reif",RAW,[],0,[GOS]
H800000,"Mandeldrink ungesüßt",RAW,[NUT],1,[]
H843200,"Dessert/Puddingalternative, pflanzlich",COMPOSED,,,
H844000,"Soja-Joghurtalternative ungesüßt",RAW,[SOY],0,[GOS]
H845000,"Sojakochcreme",COMPOSED,,,
H862200,"Miso/Sojabohnenpaste",RAW,[SOY],3,[GOS]
H880100,"Sonnenblumenkernaufstrich, Brotaufstrich pflanzlich",RAW,[],0,[]
H910300,"Vegetarische Bratwurst (aus Tofu und Weizenprotein)",COMPOSED,,,
H910400,"Veganes Schnitzel",COMPOSED,,,
H930000,"Veganer Aufschnitt (Wurstalternative)",COMPOSED,,,
H930200,"Vegetarischer Aufschnitt (Wurstalternative, mit Ei)",COMPOSED,,,
# === KATEGORIE K: Kartoffeln, Knollen (Fortsetzung) ===
K110100,"Kartoffel geschält, roh",RAW,[],0,[]
K280100,"Kartoffelchips/Stapelchips, diverse Sorten",COMPOSED,,,
K410100,"Maniok/Cassava, roh",RAW,[],0,[]
K420100,"Batate/Süßkartoffel, roh",RAW,[],0,[MANNIT]
K430100,"Topinambur/Erdartischocke, roh",RAW,[],0,[]
K440100,"Yamswurzel roh",RAW,[],0,[]
# === KATEGORIE K: Pilze ===
K701100,"Champignon roh",RAW,[],1,[MANNIT]
K703100,"Morchel roh",RAW,[],0,[MANNIT]
K713100,"Pfifferling roh",RAW,[],0,[MANNIT]
K724100,"Shiitakepilz roh",RAW,[],0,[MANNIT]
K740100,"Austernpilz roh",RAW,[],0,[MANNIT]
K820000,"Vegetarische Pastete, Brotaufstrich hefebasiert",COMPOSED,,,
# === KATEGORIE M: Milch & Milchprodukte ===
M111200,"Milch fettarm, frisch, 1,5 % Fett, pasteurisiert",RAW,[LACTOSE],0,[LACTOSE]
M111300,"Vollmilch frisch, 3,5 % Fett, pasteurisiert",RAW,[LACTOSE],0,[LACTOSE]
M112300,"Rohmilch/Vorzugsmilch, mind. 3,5 % Fett",RAW,[LACTOSE],0,[LACTOSE]
M113200,"H-Milch fettarm, 1,5 % Fett, ultrahocherhitzt",RAW,[LACTOSE],0,[LACTOSE]
M113300,"H-Vollmilch 3,5 % Fett, ultrahocherhitzt",RAW,[LACTOSE],0,[LACTOSE]
M141300,"Joghurt mild, mind. 3,5 % Fett",RAW,[LACTOSE],1,[LACTOSE]
M173900,"Schlagsahne mind. 36 % Fett",RAW,[LACTOSE],0,[LACTOSE]
M181100,"Kondensmagermilch max. 1 % Fett, gezuckert",RAW,[LACTOSE],0,[LACTOSE]
M181400,"Kondensmilch mind. 8 % Fett, gezuckert",RAW,[LACTOSE],0,[LACTOSE]
M182500,"Kondensmilch 10 % Fett",RAW,[LACTOSE],0,[LACTOSE]
M241100,"Joghurt mild, max. 1 % Fett, mit Fruchtzubereitung, gesüßt",COMPOSED,,,
M241300,"Joghurt mild, max. 3,8 % Fett, mit Fruchtzubereitung, gesüßt",COMPOSED,,,
M304600,"Emmentaler mind. 45 % Fett i. Tr.",RAW,[LACTOSE],3,[]
M400600,"Schnittkäse mind. 45 % Fett i. Tr.",RAW,[LACTOSE],2,[]
M402600,"Gouda 48 % Fett i. Tr.",RAW,[LACTOSE],2,[]
M500600,"Schnittkäse halbfest mind. 45 % Fett i. Tr.",RAW,[LACTOSE],2,[]
M601800,"Brie mind. 60 % Fett i. Tr.",RAW,[LACTOSE],1,[]
M602600,"Camembert mind. 45 % Fett i. Tr.",RAW,[LACTOSE],1,[]
M603500,"Limburger mind. 40 % Fett i. Tr.",RAW,[LACTOSE],2,[]
M6A3700,"Schnittkäse aus Ziegenmilch, mind. 50 % Fett i. Tr.",RAW,[LACTOSE],2,[]
M6A9600,"Weichkäse aus Ziegenmilch, mind. 45 % Fett i. Tr.",RAW,[LACTOSE],1,[]
M710800,"Frischkäsezubereitung Natur, mind. 60 % Fett i. Tr.",RAW,[LACTOSE],0,[LACTOSE]
M713100,"Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.",RAW,[LACTOSE],0,[LACTOSE]
M7A1600,"Frischkäse aus Ziegenmilch, Natur, mind. 45 % Fett i. Tr.",RAW,[LACTOSE],0,[LACTOSE]
M810600,"Schmelzkäsezubereitung 45 - 52 % Fett i. Tr.",COMPOSED,,,
M827800,"Frischkäsezubereitung mind. 60 % Fett i. Tr., mit Gemüse/Kräutern",COMPOSED,,,
