sighi_idx;sighi_keyword;sighi_score;sighi_category;sighi_source_ref;candidates_top5
22;Joghurt nature;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r43;"174802|Snacks, Müsliriegel, GENERAL MILLS, NATURE VALLEY, mit Joghurtüberzug|Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, with yogurt coating ;; 167722|Tofu-Joghurt|Tofu yogurt ;; 175227|SILK Sojajoghurt pur|SILK Plain soy yogurt ;; 173410|Joghurt, natur, vollfett|Yogurt, plain, whole milk ;; 175228|SILK Erdbeer-Sojajoghurt|SILK Strawberry soy yogurt"
23;Käse: lange gereifte Sorten und Hartkäse (z.B.;3;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r44;"172197|Käse, Ziege, Hartkäse|Cheese, goat, hard type ;; 170848|Käse, Parmesan, Hartkäse|Cheese, parmesan, hard ;; 2607109|ECHTER FASSGEREIFTER FETA-KÄSE|AUTHENTIC BARREL RIPENED FETA CHEESE ;; 2598948|BRIE TRIPLE CRME WEICH GEREIFTER KÄSE|BRIE TRIPLE CRME SOFT-RIPENED CHEESE ;; 170689|Fast Food, Taco mit Rindfleisch, Käse und Salat, harte Schale|Fast foods, taco with beef, cheese and lettuce, hard shell"
24;Käsezubereitungen (=Mischungen mit weiteren;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r46;"169578|Sirupe, Tischmischungen, Pfannkuchen|Syrups, table blends, pancake ;; 167584|Sirupe, Tischmischungen, Pfannkuchen, mit Butter|Syrups, table blends, pancake, with butter ;; 168838|Sirupe, Tischmischungen, Pfannkuchen, mit 2% Ahorn|Syrups, table blends, pancake, with 2% maple ;; 168839|Sirupe, Tafelmischungen, Mais, Raffinerie und Zucker|Syrups, table blends, corn, refiner, and sugar ;; 169577|Sirupe, Tischmischungen, Pfannkuchen, kalorienreduziert|Syrups, table blends, pancake, reduced-calorie"
25;Kefir;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r48;"170904|Kefir, fettarm, einfach, LIFEWAY|Kefir, lowfat, plain, LIFEWAY ;; 171301|Kefir, fettarm, Erdbeere, LIFEWAY|Kefir, lowfat, strawberry, LIFEWAY"
26;Mascarpone Käse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r49;"167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue ;; 172177|Käse, Brie|Cheese, brie ;; 173420|Käse, Feta|Cheese, feta ;; 173416|Käse, Colby|Cheese, colby"
27;Milch, laktosefrei;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r50;"174980|Kekse, Milch|Crackers, milk ;; 173775|SILK Nog, Sojamilch|SILK Nog, soymilk ;; 2259792|Buttermilch, fettarm|Buttermilk, low fat ;; 173776|SILK Chai, Sojamilch|SILK Chai, soymilk ;; 173777|SILK Mokka, Sojamilch|SILK Mocha, soymilk"
28;Milch, pasteurisiert (PAST-Milch);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r52;"323697|Ei, weiß, roh, gefroren, pasteurisiert|Egg, white, raw, frozen, pasteurized ;; 323604|Ei, ganz, roh, gefroren, pasteurisiert|Egg, whole, raw, frozen, pasteurized ;; 172203|Ei, weiß, roh, gefroren, pasteurisiert|Egg, white, raw, frozen, pasteurized ;; 170854|Käse, pasteurisiertes Verfahren, Piment|Cheese, pasteurized process, pimento ;; 329596|Ei, Eigelb, roh, gefroren, pasteurisiert|Egg, yolk, raw, frozen, pasteurized"
29;Milchpulver;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r54;"173460|Eiweißpräparat auf Milchbasis, Muscle Milk Light, Pulver|Protein supplement, milk based, Muscle Milk Light, powder ;; 173459|Protein-Nahrungsergänzung, auf Milchbasis, Muscle Milk, Pulver|Protein supplement, milk based, Muscle Milk, powder ;; 173184|Getränke, Schokoladenmalz, Pulver, zubereitet mit fettfreier Milch|Beverages, chocolate malt, powder, prepared with fat free milk ;; 173220|Getränke, Malzgetränkemischung, natürlich, Pulver, auf Milchbasis.|Beverages, Malted drink mix, natural, powder, dairy based. ;; 171874|Getränke, Schokoladenmalzpulver, zubereitet mit 1% Milch, angereichert|Beverages, chocolate malt powder, prepared with 1% milk, fortified"
30;Molke: Sauermolke;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r55;"171282|Molke, süß, flüssig|Whey, sweet, fluid ;; 171283|Molke, süß, getrocknet|Whey, sweet, dried ;; 171281|Molke, sauer, getrocknet|Whey, acid, dried ;; 170885|Molke, Säure, Flüssigkeit|Whey, acid, fluid ;; 173177|Getränke, Molkenproteinpulver-Isolat|Beverages, Whey protein powder isolate"
31;Molke: Süßmolke, Süssmolke, Labmolke;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p4_r56;"171282|Molke, süß, flüssig|Whey, sweet, fluid ;; 171283|Molke, süß, getrocknet|Whey, sweet, dried ;; 171281|Molke, sauer, getrocknet|Whey, acid, dried ;; 170885|Molke, Säure, Flüssigkeit|Whey, acid, fluid ;; 173177|Getränke, Molkenproteinpulver-Isolat|Beverages, Whey protein powder isolate"
32;Mozzarella Käse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r13;"172198|Ersatzkäse, Mozzarella|Cheese substitute, mozzarella ;; 169051|Käse, Mozzarella, fettfrei|Cheese, mozzarella, nonfat ;; 170845|Käse, Mozzarella, Vollmilch|Cheese, mozzarella, whole milk ;; 167735|Käse, Mozzarella, natriumarm|Cheese, mozzarella, low sodium ;; 168076|DENNY'S, Mozzarella-Käsestangen|DENNY'S, mozzarella cheese sticks"
33;Obers, Sahne (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r14;"173418|Käse, Sahne|Cheese, cream ;; 2346386|Sahne, schwer|Cream, heavy ;; 173443|Saure Sahne, leicht|Sour cream, light ;; 169079|Käse, Sahne, fettarm|Cheese, cream, low fat ;; 172207|Käse, Sahne, fettfrei|Cheese, cream, fat free"
34;Quark;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r17;"169083|Sojabohnen, Quark|Soybean, curd cheese ;; 2346384|Hüttenkäse, Vollfett, großer oder kleiner Quark|Cottage cheese, full fat, large or small curd ;; 172179|Käse, Hüttenkäse, Frischkäse, großer oder kleiner Quark|Cheese, cottage, creamed, large or small curd ;; 172181|Käse, Hüttenkäse, fettfrei, ungesalzen, trocken, großer oder kleiner Quark|Cheese, cottage, nonfat, uncreamed, dry, large or small curd"
35;Raclette Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r18;"167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue ;; 172177|Käse, Brie|Cheese, brie ;; 173420|Käse, Feta|Cheese, feta ;; 173416|Käse, Colby|Cheese, colby"
36;Rahm, süß (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r19;"171719|Kirschen, süß, roh|Cherries, sweet, raw ;; 170008|Zwiebeln, süß, roh|Onions, sweet, raw ;; 175033|Süße Brötchen, Käse|Sweet rolls, cheese ;; 171282|Molke, süß, flüssig|Whey, sweet, fluid ;; 168538|Mais, süß, weiß, roh|Corn, sweet, white, raw"
37;Ricotta Käse;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r22;"170851|Käse, Ricotta, Vollmilch|Cheese, ricotta, whole milk ;; 171248|Käse, Ricotta, teilentrahmte Milch|Cheese, ricotta, part skim milk ;; 2614705|VIER KÄSERAVIOLI, RICOTTA; MOZZARELLA; PARMESAN; ROMANO|FOUR CHEESE RAVIOLI PASTA, RICOTTA; MOZZARELLA; PARMESAN; ROMANO ;; 167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue"
38;Rohmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r23;"173675|Fisch, Milchfisch, roh|Fish, milkfish, raw ;; 170172|Nüsse, Kokosnussmilch, roh (Flüssigkeit aus geriebenem Fleisch und Wasser)|Nuts, coconut milk, raw (liquid expressed from grated meat and water) ;; 169975|Kohl, roh|Cabbage, raw ;; 170076|Dock, roh|Dock, raw ;; 169260|Okra, roh|Okra, raw"
39;Rohmilchkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r25;"167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue ;; 172177|Käse, Brie|Cheese, brie ;; 173420|Käse, Feta|Cheese, feta ;; 173416|Käse, Colby|Cheese, colby"
40;Rohmilchprodukte;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r27;"172319|Säuglingsnahrung, PBM-PRODUKTE, Handelsmarke, fütterungsfertig|Infant formula, PBM PRODUCTS, store brand, ready-to-feed ;; 172525|Lamm, verschiedene Fleischsorten und Nebenprodukte, Gehirn, roh|Lamb, variety meats and by-products, brain, raw ;; 172538|Lamm, verschiedene Fleischsorten und Nebenprodukte, Pankreas, roh|Lamb, variety meats and by-products, pancreas, raw ;; 173555|Säuglingsnahrung, PBM-PRODUKTE, Handelsmarke, Soja, fütterungsfertig|Infant formula, PBM PRODUCTS, store brand, soy, ready-to-feed ;; 168112|Salatdressing, Mayonnaise und mayonnaiseähnliche Produkte, kalorienarm|Salad dressing, mayonnaise and mayonnaise-type, low calorie"
41;Roquefort Käse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r28;"171250|Käse, Roquefort|Cheese, roquefort ;; 169876|Salatdressing, Blau- oder Roquefortkäse, kalorienarm|Salad dressing, blue or roquefort cheese, low calorie ;; 167692|Salatdressing, Blau- oder Roquefortkäse-Dressing, leicht|Salad dressing, blue or roquefort cheese dressing, light ;; 167699|Salatdressing, Blau- oder Roquefortkäse-Dressing, fettfrei|Salad dressing, blue or roquefort cheese dressing, fat-free ;; 173562|Salatdressing, Blau- oder Roquefortkäse-Dressing, handelsüblich, normal|Salad dressing, blue or roquefort cheese dressing, commercial, regular"
42;Sahne, süß (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r29;"169363|Mais, süß, weiß, in Dosen, nach Art der Sahne, ohne Salzzusatz|Corn, sweet, white, canned, cream style, no salt added ;; 173418|Käse, Sahne|Cheese, cream ;; 2346386|Sahne, schwer|Cream, heavy ;; 171719|Kirschen, süß, roh|Cherries, sweet, raw ;; 170008|Zwiebeln, süß, roh|Onions, sweet, raw"
43;Sauerrahm;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r32;"167963|Snacks, Kartoffelchips, Sauerrahm-Zwiebel-Geschmack|Snacks, potato chips, sour-cream-and-onion-flavor ;; 2670362|""SAUERRAHM & SCHNITTLAUCH GEKEIMTE CASHEWS, SAUERRAHM & SCHNITTLAUCH|""SOUR CREAM"" & CHIVE SPROUTED CASHEWS, ""SOUR CREAM"" & CHIVE ;; 2562699|KARTOFFELCHIPS MIT CHEDDAR- UND SAUERRAHMGESCHMACK, CHEDDAR; SAUERRAHM|CHEDDAR & SOUR CREAM FLAVORED POTATO CHIPS, CHEDDAR; SOUR CREAM ;; 2407055|VEGGIE-POPS SUPERSNACKS BIO-TROCKENGEMÜSE-SNACK, ""SAUERRAHM"" & ZWIEBEL|'SOUR CREAM' & ONION VEGGIE POPS SUPERSNACKS ORGANIC DRIED VEGETABLE SNACK, 'SOUR CREAM' & ONION ;; 168100|Cremiges Dressing, hergestellt aus Sauerrahm und/oder Buttermilch und Öl, kalorienreduziert, cholesterinfrei|Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, cholesterol-free"
44;saure Sahne;1;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r33;"173443|Saure Sahne, leicht|Sour cream, light ;; 173444|Saure Sahne, fettfrei|Sour cream, fat free ;; 173442|Saure Sahne, fettreduziert|Sour cream, reduced fat ;; 170869|Saure Sahne, Imitat, kultiviert|Sour cream, imitation, cultured ;; 172211|KRAFT BREAKSTONE'S FREE Fettfreie saure Sahne|KRAFT BREAKSTONE'S FREE Fat Free Sour Cream"
45;Schafmilch, Schafsmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r34;"175144|Fisch, Schafskopf, roh|Fish, sheepshead, raw ;; 170882|Milch, Schafe, flüssig|Milk, sheep, fluid ;; 175145|Fisch, Schafskopf, gekocht, trockene Hitze|Fish, sheepshead, cooked, dry heat ;; 174980|Kekse, Milch|Crackers, milk ;; 173775|SILK Nog, Sojamilch|SILK Nog, soymilk"
46;Schimmelkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r35;"167944|Brot, Käse|Bread, cheese ;; 172175|Käse, blau|Cheese, blue ;; 172177|Käse, Brie|Cheese, brie ;; 173420|Käse, Feta|Cheese, feta ;; 173416|Käse, Colby|Cheese, colby"
47;Schlagobers, Schlagsahne (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r36;"167687|Schlagsahne, gefroren, fettarm|Whipped topping, frozen, low fat ;; 172213|Reddi Wip Fettfreies Schlagsahne-Topping|Reddi Wip Fat Free Whipped Topping ;; 2614606|FRISCHKÄSEAUFSTRICH NACH BÜFFELART MIT SCHLAGSAHNE|BUFFALO STYLE WHIPPED CREAM CHEESE SPREAD ;; 2003596|Tomatensaft, mit Zusatzstoffen, aus Konzentrat, haltbar|Tomato juice, with added ingredients, from concentrate, shelf stable ;; 169899|Schlagsahneersatz, diätetisch, aus einer Pulvermischung hergestellt|Whipped cream substitute, dietetic, made from powdered mix"
48;Schmelzkäse;2;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r39;"172209|KRAFT CHEEZ WHIZ Pasteurisierte Schmelzkäsesoße|KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce ;; 173448|KRAFT VELVEETA Pasteurisierter Schmelzkäseaufstrich|KRAFT VELVEETA Pasteurized Process Cheese Spread ;; 173446|KRAFT CHEEZ WHIZ LIGHT Pasteurisiertes Schmelzkäseprodukt|KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product ;; 173449|KRAFT VELVEETA LIGHT Fettreduziertes pasteurisiertes Schmelzkäseprodukt|KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product ;; 2400717|""ALTMODISCHER"" LIMBURGER PASTEURISIERTER SCHMELZKÄSEAUFSTRICH, LIMBURGER|""OLD FASHIONED"" LIMBURGER PASTEURIZED PROCESS CHEESE SPREAD, LIMBURGER"
49;Süssrahm, Süßrahm (wenn ohne Zusatzstoffe);0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r40;"2003596|Tomatensaft, mit Zusatzstoffen, aus Konzentrat, haltbar|Tomato juice, with added ingredients, from concentrate, shelf stable ;; 174210|Krebstiere, Garnelen, gemischte Arten, roh (kann Zusatzstoffe zur Feuchtigkeitsspeicherung enthalten)|Crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture) ;; 171971|Krustentiere, Garnelen, gemischte Arten, gekocht, feuchte Hitze (kann Zusatzstoffe zur Erhaltung der Feuchtigkeit enthalten)|Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)"
50;Topfen;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r43;
51;UHT-Milch, Up-Milch, H-Milch, Haltbarmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r44;"1999630|Sojamilch, ungesüßt, klar, haltbar|Soy milk, unsweetened, plain, shelf stable ;; 1999631|Mandelmilch, ungesüßt, einfach, haltbar|Almond milk, unsweetened, plain, shelf stable ;; 174832|Getränke, Mandelmilch, ungesüßt, haltbar|Beverages, almond milk, unsweetened, shelf stable ;; 173187|Getränke, Schokoladen-Mandelmilch, ungesüßt, haltbar, angereichert mit Vitamin D2 und E|Beverages, chocolate almond milk, unsweetened, shelf-stable, fortified with vitamin D2 and E ;; 174980|Kekse, Milch|Crackers, milk"
52;Ziegenmilch;0;Milchprodukte;SIGHI_FoodList_2024-08-29_p5_r46;"174980|Kekse, Milch|Crackers, milk ;; 173775|SILK Nog, Sojamilch|SILK Nog, soymilk ;; 2259792|Buttermilch, fettarm|Buttermilk, low fat ;; 173776|SILK Chai, Sojamilch|SILK Chai, soymilk ;; 173777|SILK Mokka, Sojamilch|SILK Mocha, soymilk"
53;Dörrfleisch, Trockenfleisch;3;Fleisch;SIGHI_FoodList_2024-08-29_p5_r48;"171589|Soße, Instant-Rindfleisch, trocken|Gravy, instant beef, dry ;; 171173|Soße, Schweinefleisch, trocken, Pulver|Gravy, pork, dry, powder ;; 172938|Salami, trocken oder hart, Schweinefleisch|Salami, dry or hard, pork ;; 171614|Suppe, Ramen-Nudeln, Rindfleischgeschmack, trocken|Soup, ramen noodle, beef flavor, dry ;; 174582|Salami, trocken oder hart, Schweinefleisch, Rindfleisch|Salami, dry or hard, pork, beef"
54;Ente, Entenfleisch;0;Fleisch;SIGHI_FoodList_2024-08-29_p5_r49;"171112|Ente, junges Entenküken, domestiziert, White Pekin, Keule, Fleisch und Haut, mit Knochen, gekocht, gebraten|Duck, young duckling, domesticated, White Pekin, leg, meat and skin, bone in, cooked, roasted ;; 171510|Ente, junges Entenküken, domestiziert, White Pekin, Brust, Fleisch und Haut, ohne Knochen, gekocht, gebraten|Duck, young duckling, domesticated, White Pekin, breast, meat and skin, boneless, cooked, roasted ;; 171511|Ente, junges Entenküken, domestiziert, White Pekin, Brust, nur Fleisch, ohne Knochen, gekocht ohne Haut, gebraten|Duck, young duckling, domesticated, White Pekin, breast, meat only, boneless, cooked without skin, broiled ;; 171113|Ente, junges Entenküken, domestiziert, White Pekin, Keule, nur Fleisch, mit Knochen, gekocht ohne Haut, geschmort|Duck, young duckling, domesticated, White Pekin, leg, meat only, bone in, cooked without skin, braised ;; 174468|Ente, wild, Fleisch und Haut, roh|Duck, wild, meat and skin, raw"
